 ,CategoryTitle,ActivityTitle,PressureTitle,APJustificationDesc,RPPTitle,RiskFactorDesc,EvidenceStandardDesc,ConfidenceScoreTitle
11,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion","Limited evidence is available, however, the presence of artificial structures on the seabed will inevitably lead to a disturbance of the seabed.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
12,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Physical change (to another seabed type),"Limited evidence is available, however, the presence of artificial structures on the seabed will inevitably lead to a change in the seabed type.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
13,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Physical change (to another sediment type),"Limited evidence is available, however, the presence of artificial structures on the seabed will inevitably lead to a change in the seabed type.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
14,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Smothering and siltation rate changes (Heavy),"Limited evidence is available, however, during the placement of structures there may be a short term increase in siltation rates, caused by sediment disturbance.",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
15,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Smothering and siltation rate changes (Light),"Limited evidence is available, however, during the placement of structures there may be a short term increase in siltation rates, caused by sediment disturbance.",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
16,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC.","Some materials of concern may potentially remain on vessels permitted to be scuttled as artificial reefs. Such materials include asbestos, polychlorinated biphenyls (PCBs) and antifouling paint [5018]. In 1998, the South Carolina Department of Natural Resources assessed the levels of PCBs and heavy metals in biota found on ex-military ships used as artificial reefs. The ex-military vessels had been submerged for 3 to 17 years. They collected over 100 samples of reef materials, resident invertebrates, and resident finfish from several locations along the South Carolina coast. Three of seven vessels from which biological samples were collected were found to have materials onboard containing PCBs with concentrations ranging from 1.3 to 24.5 ppm. Of the 80 tissue samples analyzed for PCBs, only 19 (4 finfish, 14 molluscs, and 1 echinoderm) were found above detectable limits. All were well below the U.S. Food and Drug Administration’s alert action level of 2.0 ppm wet weight. The study concluded that the PCB levels detected in the study did not indicate increased hazards around military ships used as artificial reefs [JNCC0275; 5018]. In the case of large steel vessels proposed as artificial reefs, typically by the time artificial reefing is considered as an option the vessels have effectively exceeded their life expectancy and the active ingredients in antifouling paint are no longer effective [5018].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
17,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,"Pressure primarily relates to vessels associated with this activity and their movement. Transition elements and organo-metals are used as marine anti-fouling agents on vessels. Historically the main ingredients in biocidal antifouling coatings have been copper or tributyltin (TBT). TBT has been banned on vessels under 25m in the UK since 1987. Since then biocides commonly used in the UK in antifoulants include Copper(I) oxide (cuprous oxide), Copper thiocyanate, Zinc pyrithione and ZineB (organosulfur compound) [JNCC0204; JNCC0326].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
18,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Underwater noise changes,Access to cultural sites offshore may require use of a vessel. Small sea going vessels typically produce broadband noise at source levels of 170-180 dB re 1µPa-m (RMS) [JNCC0296; 4908].,low,The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity (for example the size of the boats) the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
19,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Visual disturbance,"This pressure is associated with the use of a vessel. The movement of vessels and people, as well as that of gear, can create visual stimuli which can evoke a disturbance response in mobile species such as fish, marine mammals, seabirds and coastal birds. However, the magnitude of the pressure will depend on the nature, scale, intensity and duration of the activity, plus other factors such as species present and age, weather conditions and degree of habituation to disturbance source [2497; 2825; 3269; 2707; 4977].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
20,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Water flow (tidal current) changes, including sediment transport considerations","Limited evidence is available, however, when an artificial structure is in place in the marine environment it immediately interacts with the local current regime and may have directly negative impacts through changes in current velocities and direction.",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
21,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Wave exposure changes,"Limited evidence is available, however, when an artificial structure is in place in the marine environment it immediately interacts with the local current regime and may have directly negative impacts through changes in wave action. These changes are expected to be localised and relatively minor in extent.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
22,Extraction (and disposal) of non-living resources,Deep sea mining,Above water noise,"Noise arises from many activities in the marine environment which can evoke a disturbance response in marine mammals and birds [2825; 3269; 3227; 2074; 4869].  The use of machinery, vessels, explosives, people will result in an increase of above water noise. Some examples of sources of airborne noise are drilling rigs and support vessels [3111; 3149; 2834; 3151; 4352]. However, the magnitude of pressure would depend on the scale, intensity and duration of the activity.",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). Factors such as height, speed and size of aircraft would need to be taken into consideration.",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
23,Extraction (and disposal) of non-living resources,Deep sea mining,Abrasion/disturbance of the substrate on the surface of the seabed,Mining involves the use of a mining vehicle and collector vehicle. The vehicles move across the sea floor disturbing the sediment and compressing deeper sediment layers [JNCC0263]. Mining equipment will have direct physical impacts on the seafloor [JNCC0237].,low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
24,Extraction (and disposal) of non-living resources,Deep sea mining,Changes in suspended solids (water clarity),Mining involves the use of a mining vehicle and collector vehicle. The vehicles move across the sea floor disturbing the sediment and compressing deeper sediment layers. This disturbance creates sediment plumes around the site which vary in dispersion and would be present whilst the activity was on going [JNCC0263; JNCC0237]. Recovered mineral ores may be de-watered on board the mining support vessel prior to shipment to shore which may result in discharges into surface waters or through mid-water fall pipes.  Propellers from ships can cause localised scour of the seabed around the berth pockets in Port locations [5174]. Ship movements can also result in erosion at the margins of the channel [3145].,low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
25,Extraction (and disposal) of non-living resources,Deep sea mining,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)","This pressure relates to the use of a vessel. Species can collide with the propeller or other parts of the hull causing collision injury or death. In general, the most lethal and serious injuries to mobile species such as marine mammals are caused by large ships (e.g. 80 m or longer) and vessels travelling at speeds faster than 14 knots. Most minor injuries, by contrast, involve collisions with vessels less than 45 m long. Collisions are rarely reported for vessels doing less than 10 km/hour [5120; 4987]. A lack of information exists regarding collision risk of animals (e.g. birds, fish, marine mammals) with underwater structures, especially for birds. The response of birds will depend on their detection of a device and any associated structures. The risk of collision may be increased if the devices alter the characteristics of the current, especially if such changes create new foraging opportunities, since this may impact on the manoeuvrability and underwater swimming agility of birds [4959; 5075]. Collision risks are most likely to pose the greatest risk in areas of strong water movement, such as areas of strong tidal flow or wave motion [3098].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). Factors such as height, speed and size of aircraft would need to be taken into consideration.",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
26,Extraction (and disposal) of non-living resources,Deep sea mining,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)","This pressure relates to the use of a vessel. Species can collide with the propeller or other parts of the hull causing collision injury or death. In general, the most lethal and serious injuries to mobile species such as marine mammals are caused by large ships (e.g. 80 m or longer) and vessels travelling at speeds faster than 14 knots. Most minor injuries, by contrast, involve collisions with vessels less than 45 m long. Collisions are rarely reported for vessels doing less than 10 km/hour [5120; 4987]. A lack of information exists regarding collision risk of animals (e.g. birds, fish, marine mammals) with underwater structures, especially for birds. The response of birds will depend on their detection of a device and any associated structures. The risk of collision may be increased if the devices alter the characteristics of the current, especially if such changes create new foraging opportunities, since this may impact on the manoeuvrability and underwater swimming agility of birds [4959; 5075]. Collision risks are most likely to pose the greatest risk in areas of strong water movement, such as areas of strong tidal flow or wave motion [3098].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
27,Extraction (and disposal) of non-living resources,Deep sea mining,Habitat structure changes - removal of substratum (extraction),"Deep sea mining and excavation activity will result in the removal of substrate and therefore habitat loss [JNCC0255] and changes to seafloor surface structure [JNCC0277]. This could lead to the reduction in availability of hard substrate, in the case of mining for manganese nodules on abyssal plains or cobalt rich crusts found on seamounts, leading to a change in seabed type.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
28,Extraction (and disposal) of non-living resources,Deep sea mining,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,"This pressure primarily relates to vessels associated with this activity and their movement. The primary chemicals of environmental concern in vessel oil and fuel are polycyclic aromatic hydrocarbons (PAHs). Deliberate discharges of oil or oil/water mixtures from ships are prohibited within the North West European Waters Special Area, established by the International Maritime Organization under MARPOL Annex I in 1999. This includes all waters around the UK and its approaches. However, accidental discharges still occur. Information on accidental discharges of oil from ships and offshore platforms is compiled by the Advisory Committee on Protection of the Sea (ACOPS) on behalf of the Maritime and Coastguard Agency each year. Although the majority of incidents are minor, several incidents occur annually that have led to the actual or potential release of significant amounts of oil (typically from large shipping vessels and tankers). Moreover, antifouling compounds like TBT and copper wash from ship coatings with larger concentrations in heavily used shipping routes or within harbours [3032; 3096; 3107; 3164; 4333; 4985].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
29,Extraction (and disposal) of non-living resources,Deep sea mining,Introduction of light,"The pressure is potentially associated with construction, maintenance, operational lighting, plus navigation and operational lighting on vessels and structures, which are used during deep sea mining [JNCC0237]. Lighting can cause disorientation or displace sensitive species. Lighted vessels and structures in open waters may pose a collision risk to many species of birds. Birds drawn to light may become disoriented and collide with these structures, which may result in injury and death. Light from vessels may also be of concern where significant levels of activity occur in close proximity to sensitive bird habitats including coastal inshore waters [3083; 3088; 3195; 2797; 3107; 4334; 4339]. Mining activities may also introduce light into deep sea environment where organisms are adapted to extreme low-light conditions. Over 99% of sunlight is absorbed in the first 200 metres of water,  and below 1,000 metres of water there is zero light [JNCC0259].  The use of deep-sea mining operations are likely to require underwater lighting for illumination purposes which may result in physiological damage to deep sea communities and individuals that are adapted to low light conditions.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
30,Extraction (and disposal) of non-living resources,Deep sea mining,"Introduction of other substances (solid, liquid or gas)","Deep sea mining produces routine discharges [JNCC0237] and during any drilling, water based fluids are discharged. There may be some oil in this water as well as deck and machinery space drainage that may also contain small quantities of oil. The discharges of water based fluids and associated drill cuttings are still a concern in areas with sensitive benthic fauna, for example cold water corals, whilst oil contamination can affect a variety of components of marine ecosystems with consequences such as increased mortality, reduced reproductive success [5004; 3111; JNCC0296; JNCC0237].",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
31,Extraction (and disposal) of non-living resources,Deep sea mining,Introduction or spread of invasive non-indigenous species (INIS),"This pressure relates to the use of a vessel such as a barge bulk carrier [JNCC0237]. Aquatic organisms may be transferred to new locations as biofouling and can be harmful and invasive in locations where they do not naturally occur. All craft have some biofouling, even if recently cleaned or anti-fouled [4978; 5177]. Thousands of marine species can be carried in ships’ ballast water [3164].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text). The risk of introducing new species may also increase with the range of vessel/boat activity – e.g. travelling from locations outside the UK.",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
32,Extraction (and disposal) of non-living resources,Deep sea mining,Litter,"Marine litter can be released into the marine environment by vessels such as cargo, bulk carrier used in deep-sea mining [JNCC0237] either accidentally (inappropriate storage) or deliberately [4974; 3160]. Shipping litter includes pallets, strapping bans and drums, as well as litter derived from containers lost at sea. Cargo may also be washed overboard during stormy weather and contribute to coastal litter levels. Shipping related litter contributes approximately 2 % of the litter found on UK beaches. Shipping related litter contributed approximately 45 litter items per kilometre around the UK on average between 2003 and 2007 [4915; 3160].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
33,Extraction (and disposal) of non-living resources,Deep sea mining,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion",Deep sea mining and excavation activity will result in the removal of substrate [JNCC0237] and therefore penetration/disturbance of the substrate below the surface of the seabed.,low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
34,Extraction (and disposal) of non-living resources,Deep sea mining,Physical change (to another seabed type),"Deep sea mining and excavation activity will result in the removal of substrate and therefore habitat loss [JNCC0255] and changes to seafloor surface structure [JNCC0277].  This could lead to the reduction in availability of hard substrate, in the case of mining for manganese nodules on abyssal plains or cobalt rich crusts found on seamounts, leading to a change in seabed type.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
35,Extraction (and disposal) of non-living resources,Deep sea mining,Physical change (to another sediment type),"Deep sea mining and excavation activity will result in the removal of substrate and therefore habitat loss [JNCC0255] and changes to seafloor surface structure [JNCC0277].  This could lead to the reduction in availability of hard substrate, in the case of mining for manganese nodules on abyssal plains or cobalt rich crusts found on seamounts, leading to a change in seabed type.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
